model_num,run,remove_features,scaled,val_random,prediction_threshold,trials,sampling_technique,sub_sampling_seed,sampling_technique_seed,train_set_name,validation_set_name,test_set_name,objective,boosting_type,scale_pos_weight,learning_rate,num_leaves,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,min_child_samples
0,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_0,test_0,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
1,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_1,test_1,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
2,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_2,test_2,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
3,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_3,test_3,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
4,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_4,test_4,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
5,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_5,test_5,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
6,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_6,test_6,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
7,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_7,test_7,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
8,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_8,test_8,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
9,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_9,test_9,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
10,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_10,test_10,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
11,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_11,test_11,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
12,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_12,test_12,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
13,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_13,test_13,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
14,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_14,test_14,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
15,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_15,test_15,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
16,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_16,test_16,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
17,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_17,test_17,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
18,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_18,test_18,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
19,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_19,test_19,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
20,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_20,test_20,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
21,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_21,test_21,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
22,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_22,test_22,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
23,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_23,test_23,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
24,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_24,test_24,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
25,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_25,test_25,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
26,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_26,test_26,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
27,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_27,test_27,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
28,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_28,test_28,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
29,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_29,test_29,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
30,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_30,test_30,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
31,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_31,test_31,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
32,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_32,test_32,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
33,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_33,test_33,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
34,False,False,False,False,0.5,100,,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_34,test_34,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
35,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_0,test_0,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
36,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_1,test_1,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
37,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_2,test_2,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
38,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_3,test_3,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
39,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_4,test_4,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
40,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_5,test_5,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
41,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_6,test_6,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
42,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_7,test_7,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
43,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_8,test_8,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
44,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_9,test_9,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
45,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_10,test_10,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
46,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_11,test_11,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
47,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_12,test_12,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
48,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_13,test_13,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
49,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_14,test_14,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
50,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_15,test_15,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
51,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_16,test_16,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
52,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_17,test_17,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
53,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_18,test_18,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
54,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_19,test_19,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
55,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_20,test_20,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
56,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_21,test_21,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
57,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_22,test_22,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
58,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_23,test_23,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
59,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_24,test_24,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
60,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_25,test_25,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
61,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_26,test_26,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
62,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_27,test_27,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
63,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_28,test_28,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
64,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_29,test_29,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
65,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_30,test_30,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
66,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_31,test_31,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
67,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_32,test_32,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
68,False,False,False,False,0.5,100,RU,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_33,test_33,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
