model_num,run,remove_features,scaled,val_random,prediction_threshold,trials,sampling_technique,sub_sampling_seed,sampling_technique_seed,train_set_name,validation_set_name,test_set_name,objective,boosting_type,scale_pos_weight,learning_rate,num_leaves,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,min_child_samples
139,False,False,False,False,0.5,100,SM_BL_1,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_34,test_34,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
140,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_0,test_0,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
141,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_1,test_1,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
142,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_2,test_2,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
143,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_3,test_3,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
144,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_4,test_4,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
145,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_5,test_5,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
146,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_6,test_6,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
147,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_7,test_7,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
148,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_8,test_8,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
149,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_9,test_9,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
150,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_10,test_10,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
151,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_11,test_11,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
152,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_12,test_12,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
153,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_13,test_13,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
154,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_14,test_14,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
155,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_15,test_15,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
156,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_16,test_16,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
157,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_17,test_17,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
158,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_18,test_18,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
159,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_19,test_19,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
160,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_20,test_20,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
161,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_21,test_21,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
162,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_22,test_22,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
163,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_23,test_23,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
164,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_24,test_24,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
165,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_25,test_25,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
166,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_26,test_26,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
167,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_27,test_27,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
168,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_28,test_28,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
169,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_29,test_29,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
170,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_30,test_30,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
171,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_31,test_31,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
172,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_32,test_32,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
173,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_33,test_33,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
174,False,False,False,False,0.5,100,SM_BL_2,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_34,test_34,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
175,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_0,test_0,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
176,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_1,test_1,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
177,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_2,test_2,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
178,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_3,test_3,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
179,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_4,test_4,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
180,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_5,test_5,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
181,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_6,test_6,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
182,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_7,test_7,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
183,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_8,test_8,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
184,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_9,test_9,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
185,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_10,test_10,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
186,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_11,test_11,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
187,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_12,test_12,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
188,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_13,test_13,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
189,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_14,test_14,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
190,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_15,test_15,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
191,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_16,test_16,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
192,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_17,test_17,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
193,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_18,test_18,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
194,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_19,test_19,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
195,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_20,test_20,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
196,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_21,test_21,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
197,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_22,test_22,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
198,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_23,test_23,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
199,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_24,test_24,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
200,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_25,test_25,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
201,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_26,test_26,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
202,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_27,test_27,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
203,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_28,test_28,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
204,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_29,test_29,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
205,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_30,test_30,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
206,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_31,test_31,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
207,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_32,test_32,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
208,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_33,test_33,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
209,False,False,False,False,0.5,100,RO,8091,7013,not_mlp_sorted_by_issue_d_and_then_id_train_data_20461_20240,validation_34,test_34,[binary],[gbdt],[1 2],[0.01 0.2],[10 100],[3 7],[1 4],[0.3 0.7],[0.3 0.7],[0.001 0.01],[0.001 0.01],[10 100]
